id,+/-,politics,check
11,+,多管齊下有感增加市區停車格,"台南在 105 年底公有停車格統計有 281 大型車、 19187 小型車與 8183 機車，在 108 年底統計為 442 大型車、 56072 小型車與 32595 機車，各項數量都有增加，只是對比登記數量仍有明顯落差。

台南市車輛登記數量統計，對比 2018 與 2020 資料，汽車從 685189 成長到 702788 、機車從 1298511 成長到 1326431 ，每 12.53 輛汽車與每 40.69 輛機車共用一個公有停車格。

停車空間供應遠不如需求，加強大眾運輸等配套措施取代私人運具才能夠從根源解決停車問題。
"
12,+,爭取農漁畜牧災損 從寬從優從速補助,"農漁畜牧災損的標準來自農委會主政的農業天然災害救助辦法，台南並未有太多更為優渥的辦法，發放補助的統計也不容易找到。
"
13,+,增闢生態滯洪池公園 打造綠美親水海綿城市,"「二仁溪及港尾溝溪滯洪池景觀營造計畫」於110年1月完工、「仁德之心-滯(蓄)洪池景觀營造計畫」於110年1月完工、「蘇厝(溪尾)滯洪池環境營造周邊景觀改善計畫」於110年4月完工，只是這些計畫大多聚焦在景觀的營造，不容易吸引民眾前往遊憩；對比之下新北大都會公園運用疏洪道建設的「熊猴森樂園」，在完工啟用後吸引許多外縣市家長帶著孩子前往，成為熱門景點，台南可以借鏡。
"
14,+,增設公幼 協助私幼公共化 提供優質托育環境,"台南的公幼招生名額，從 2018 的 5681 人成長到 2022 的 6329 人，成長了 648 人(11.4%)；但是同樣的兩個時間點，公幼從 2018 的供不應求（缺額 2211 人）變成了 2022 的供過於求（超額 2368 人），反轉的情況超乎預期。

2022 年台南 3-4 歲的孩子仍然有 27932 人，台南教育局並沒有進一步公佈這些孩子的托育情況統計，初步判斷主要原因是政府對於準公共幼兒園托育的補助讓公私立幼兒園間收費拉近，公立幼兒園延托與寒暑假等特性存在較多不確定性，讓許多家長傾向選擇準公共或是非營利幼兒園，造成多年來第一次出現的公立幼兒園供過於求的特殊現象，這個情況會讓大量公共資源出現閒置，應該要盡快思考因應對策。

其實幼兒園的需求改變也突顯了現在台南年輕父母普遍工作條件惡劣的問題，越來越少的年輕父母能夠在工作之餘分配時間給孩子，同時也讓更多年輕人選擇不婚不生，這個惡性循環目前還看不到突破的契機。
"
15,-,強化技職教育 達成學用合一 畢業後立即就業,"台南至今並未完成 42 所高中職的改隸作業，市府持續以財政問題推延，因此未能發現強化技職教育的具體作為；而攸關台南財政結構的財政收支劃分法，在民進黨 2016 完全執政至今尚未完成修法，在財政問題上出現難以打破的惡性循環。
"
16,-,補助長輩穿戴式智慧裝置 建構聯網醫療 打造友善高齡城市,"目前台南並未提出穿戴式智慧裝置的補助項目，許多環繞著長輩進行的智慧長照方案都是實驗性的發展計畫，尚未成為正式的公共政策；台南長照需求人口推估從 2020 的 63715 成長到 2022 的 72149 人，可以預期會持續增長，如何運用科技工具輔助第一線追蹤長輩健康狀況一直是各界研究的議題，希望能夠盡快找到可以結合公共政策的方案。
"
17,-,擘畫安平港智慧港灣新經濟 無人船巡航觀光 保安 環境清潔,"依據無人載具科技創新實驗計畫網站資訊，目前核准的兩件自駕船計畫都在高雄愛河進行，安平港相關計畫至今並未出現過。

無人載具科技創新實驗資訊揭露
https://www.moea.gov.tw/Mns/populace/content/Content.aspx?menu_id=33280
"
18,-,擘畫全國首創陸海空 AI 人工智慧無人載具示範場域 創造智慧經濟服務,"依據無人載具科技創新實驗計畫網站資訊，目前台南唯一核准的計畫為 「台南市自動駕駛快捷公車上路營運實驗計畫」 ，此計畫第一次展延的期限到 2022-04-06 ，至今並未有進一步的展延發生，也就是說目前台南已經沒有任何進行中的無人載具實驗計畫。

無人載具科技創新實驗資訊揭露
https://www.moea.gov.tw/Mns/populace/content/Content.aspx?menu_id=33280
"
19,+,打造 AI 自駕車專區 結合沙崙科學力及永康工業力 促進產業發展升級,"「台灣智駕測試實驗室」在 2019-02-25 於沙崙開幕，這是國內第一座自駕車封閉測試場域；只是對比美國、新加坡等國家已經進行到開放場域實驗，台灣相關計畫並未吸引較具規模的投資，大多倚賴政府補助進行，產業要想升級擺脫零件代工的角色還有很長的路要走。
"
20,-,強化國際行銷 成立日本行銷辦公室 把農產帶過去 把觀光帶回來,"選前受訪有提過要在東京成立行銷台南辦公室，但這件事從沒有進一步的消息。
"
21,+,推動 逕流分擔與出流管制 持續提昇防洪保護基準,"依據水利局 110 年施政目標，台南市管區域排水保護標準仍然為 10 年重現期洪水設計，防洪標準並未有明顯提昇， 24 小時累積降雨超過 250 毫米就會有淹水疑慮，在極端氣候環境下明顯不足以因應。
"
22,+,捷運藍線延伸新豐區 串聯高鐵便捷交通 連接沙崙綠能科學城促進產業,"第一期藍線延伸線在 111 年 7 月送交可行性研究報告到交通部進行審議，目前並未聽聞有進一步消息。
"
23,+,持續治水 更要親水 易致災低窪地區 打造親水環境,"「二仁溪及港尾溝溪滯洪池景觀營造計畫」於110年1月完工、「仁德之心-滯(蓄)洪池景觀營造計畫」於110年1月完工、「蘇厝(溪尾)滯洪池環境營造周邊景觀改善計畫」於110年4月完工，只是這些計畫大多聚焦在景觀的營造，不容易吸引民眾前往遊憩；對比之下新北大都會公園運用疏洪道建設的「熊猴森樂園」，在完工啟用後吸引許多外縣市家長帶著孩子前往，成為熱門景點，台南可以借鏡。
"
24,+,催生亞太棒球村 打造體育經濟 串聯台江豐富觀旅資源,"亞太棒球村或稱亞太國際棒球訓練中心，目前只有第一期少棒主球場及副球場在 2019-07-26 完工啟用，主要的成人棒球主副球場預計在 2023 年底完工；計畫在 2012 以來經費由 15.8 億成長到 28 億元，審計處已點出缺失移送監察院調查。

目前亞太國際棒球訓練中心只有往返台南、永康兩車站的公車路線，並未進一步連結台江國家公園景點，觀光旅遊路線只能依賴私人運具。
"
25,-,重振市民政治信任 網路直播會報市政回應提問 政府資訊徹底公開,"目前市政會議的直播從未安排過市長直接回應市民線上提問，許多施政項目的公開資訊也讓市民難以追蹤。
"
26,+,新營糖廠及鹽水岸內糖廠 打造主題樂園及影視基地,"新營糖廠目前只有地景公園的設置，糖鐵綠廊縫合計畫也提供更多休閒空間，但並沒有進一步的設施；鹽水岸內糖廠的影視基地在《斯卡羅》拍攝後並沒有其他新規劃，只有短暫期間開放民眾參觀場景，沒有主題樂園等設施的安排，近期只有看到聯外道路改善。
"
27,-,農漁為本 綠能為輔 發展綠電農漁 多元管道 增加農漁民收入,"台南發展綠電已經明顯排擠養殖漁業，影響虱目魚產量進而抬升價格，農電、漁電共生的理想也大多只是空談難以落實，從事實際生產的農漁民越來越難以生存。
"
28,+,串聯南科 永康工業聚落及沙崙綠能科學城 打造科技綠能產業廊道,"沙崙綠能科學城 4 年來都是只聞樓梯響，並未看到相關產業真的進駐設廠；後來進一步改名為「沙崙智慧綠能科學城」，或是新的「沙崙健康醫療創新園區」，一直都是各種的規劃中，沒有太多具體進展。
"
29,-,提供菁英選手訓練津貼 成立 AI 數據運動中心 打造運動科學團隊,"「台南市菁英運動選手補助計畫」在 2020 提出後並沒有進一步公開資訊，無法得知落實情況，就新聞資訊比較離其他縣市仍有明顯落差； AI 數據運動中心並未看到具體規劃，運動科學團隊徒具形式而無實質成果可供檢驗。
"
30,+,建構友善長照環境 單一窗口協力長照機構 完善照服員升遷及專業支持,"衛生福利部其實在 2017 年就開通了「1966長照服務專線」，對於第一線照服員最大的困擾是各種填不完的表單，進而影響了照服員提供的量能，只是這個問題目前還是得仰賴衛生福利部在資訊系統的投資，台南市除了配合中央政策外並沒有太多餘裕提供更好的作法。
"
31,-,珍惜醫療資源 提升服務效率 落實 分級醫療 與 雙向轉診,"分級醫療與雙向轉診一直是只聞樓梯響的願景，現有的收費模式並未阻止大家第一時間往大醫院跑的習慣；疫情期間因為大醫院流程複雜而讓許多民眾轉往小診所提昇了些許平衡，但隨著疫情慢慢舒緩這樣的平衡也漸漸消失，這個政策方向只給蘿菠是無法發揮作用的，只是沒有一個執政者有魄力去拿出鞭子。
"
32,+,行動醫療持續佈點 把醫院開進偏鄉社區 均衡區域醫療資源,"行動醫療目前並未看到積極作為去提昇頻率或涵蓋範圍，許多偏鄉區域仍然處於極度缺乏醫療資源的窘境。
"
33,+,讓專業的來 年輕人的新 party 大型晚會由青年組成委員會籌辦,"青年委員會組成後並未在市府大型晚會中扮演積極角色，很多時候都是先射箭再畫靶，青年委員會只是過程中的諮詢對象之一； 4 年來 45 歲以下人口減少逾 7 萬人，青年委員會的成立並未阻止台南持續流失年輕人的困境，需要有更積極的作為才能扭轉。
"
34,+,推動青年造鎮 政府提供場域及經費 青創進駐築夢 實現青年返鄉,"4 年來 45 歲以下人口減少逾 7 萬人，青年返鄉並未在統計數字上發生，環繞著青年創業的補助政策失敗收場居多，少有擴大就業機會的案例；需要在其他務實作為上多加著墨，而不是把趨勢的扭轉寄望在成功機率不高的青年創業中。
"
35,-,運河遊船再升級 新建中西區碼頭 串聯安平 結合觀旅及公共運輸機能,"中西區「運河星鑽區」的確存在碼頭用地規劃，只是臨安橋過低難以讓運河遊船常態穿越；臨安橋的改建預計在 2025 年完工，屆時才有機會延伸到碼頭與運河遊船的規劃，估計即使下個市長任期也難以看到兩地間的遊船達到公共運輸機能。
"
36,+,實現智慧農業 推動智慧栽種與養殖 農漁研發技術移轉 農漁民賺大錢,"智慧化在農漁業都有進展，在農業部份主要是無人機噴藥部份持續擴大，養殖漁業則是越來越多自動感測設備導入，取代人工判斷；只是農業部份缺乏經濟規模，難以抗衡國際普遍的大規模耕作，養殖漁業的部份則是因為快速發展的再生能源設施持續委縮，光虱目魚在兩年間就減少逾千公頃。
"
37,+,活用體育基金 打造遍布社區的運動空間 擘畫全民運動的健康城市,"體育署補助安南區、新營區全民運動館 2 處，南市府自籌經費建置永康全民運動館 1 處，目前只有中西區的永華國民運動中心營運中，離遍布社區的目標還很遙遠。
"
38,+,有感實現 智慧城市 政府打通局處環節 民間進駐發揮創意技術,"台南智慧城市發展最大的瓶頸仍是跨局處的溝通合作，疫情的發生帶出了一些新應用，但新應用的成果需要推進到常規業務才能夠發揮更大價值，畢竟例外情況一旦疫情宣佈結束就會消失。
"
39,+,以社區為單位推動醫療專車 拉平城鄉醫療差距 促進長輩社會參與,"行動醫療目前並未看到積極作為去提昇頻率或涵蓋範圍，許多偏鄉區域仍然處於極度缺乏醫療資源的窘境。
"
40,+,建立 治安智慧防禦網 汰換治安監錄系統 實現治安數據聯網共享,"警局所建置的治安監錄系統汰換進度，除長榮大學外籍女大生遇害案有動用第二預備金進行區域性的加速外，並沒有更進一步的作為；治安監錄系統的資料過去就存在延伸交通局路況使用，並未發現其他新的利用案例，如果能夠去識別化後成為開放資料，可以推進民間進行更多加值。
"
41,+,打造城市博物館 活化古蹟 宗教 等文資 美食商圈 重現府城文史風華,"城市博物館並沒有新的實體出現，台南文資處推出的「宮廟博物館」計畫比較接近最初的想法，希望能夠用博物館的規格去調查與整理台南宮廟的館藏，讓宮廟就像博物館一樣；原本寄望民政局的台南市宗教管理系統發揮效果，但現況網站建置後並未符合需求，繞境資料並未確實透過系統蒐集。
"
42,-,托育準公共化加碼補助設備更新 結合保母及業者打造智慧托育地圖,"準公共化政策除中央補助外，並未發現台南有進一步加碼政策，而智慧托育地圖在 2019 發布新聞預告後也沒有其他進展；目前台南托嬰能量缺口頗大， 3 足歲公幼則是供過於求，應該調整公共資源配置，讓更多幼托需求可以被滿足。
"
43,+,一站式整合服務 加速招商引資 促進產業發展 讓年輕人返鄉就業,"對比 2018/12 與 2022/08 兩個時間點人口， 0-45 歲人口減少 72163 ， 15-64 歲人口則是減少 63037 人，顯示年輕人返鄉就業並未發生，加上現代化產線自動化比例提昇，人工需求高階化，在地產業投資無法有效創造足夠的就業吸引年輕人。市府持續以滿意度宣傳，但那些出走的年輕人不會是被調查的對象，市府需要重視具有實質意義的指標。
"
44,+,公共運輸 電動汽機車及減少塞車 多管齊下打造低碳綠能交通環境,"台南的公共運輸覆蓋率還是很低，儘管改用電動車輛對於環境有些改善，但沒辦法有效取代私人運具還是幫助有限，公車路線、班次的安排離民眾的需求還有明顯落差。
"
45,-,落實勞動檢查 加強吹哨者保護 並提升勞檢結果透明度,"台南的勞動檢查次數不低，但是進行處分的比率很低，對比台北因為勞檢次數極高造成的低處分率，台南的情況明顯不合理，透明度與吹哨者保護在這 4 年裡也沒有明顯進步。
"
46,-,工業區增建專用焚化爐 解決一般事業廢棄物處理問題,"四年來並未出現新的焚化爐計畫，年初動工的七股科技工業區也因為沒有環保設施遭到多名議員質疑，經發局承諾環差評估時會納入環保設施用地，目前並未看到具體規劃。台南近年來事業廢棄物亂倒、亂埋問題嚴重，確實應該從源頭管理，避免環境一再遭到污染。
"
47,+,串聯區域場館 加乘觀旅經濟 打造山海大台南特色旅遊廊帶,"目前區域場館少有新的公車路線串聯，大部分的觀光景點還是得倚賴私人運具，需要更積極透過活動嘗試安排接駁路線，讓區域觀光資源可以有效連結。
"
48,+,改善交通 加速台南鐵路地下化 消除9平交道並改善8隧道及5陸橋,"台南鐵路地下化最後拆遷戶已經在去年(2021)完成點交，預計 2024 年底正式切換地下軌道，目前進度約 70% 。
"
49,+,公部門領頭 禁用一次性餐具 深化垃圾撿量及資源回收 逐步推及民間,"目前市府與議會全面不使用一次性餐具，但延伸到民間的推廣工作都是實驗性質居多，要有更積極的政策才能夠擴大應用範圍。
"
50,+,打造友善親職環境 確保雇主依法提供育嬰相關福利及保障,"就業保險法在去年底(2021/12/24)三讀通過，父母得同時請領留職停薪津貼，只是原本 60% 的津貼並未在法規上直接提高到 80% ，對於一般家庭來說還是很難雙親同時申請留職停薪。除了法規上的進展，實際執法層面才是台南一直讓人詬病的地方，基本的勞保都還一直有雇主未完成加保的新聞出現。
"
51,+,建立勞資友善環境 成立勞檢處 增加勞檢編制人力及資源,"台南市勞工局勞動檢查中心在 2019/4/28 正式升級為二級機關，改名為「職安健康處」，勞檢的次數確實有提昇，只是開罰的比率對比其他五都偏低，還是無法擺脫台南勞動環境的負面形象。
"
52,-,增加性平會中性平意識及專業委員的比例 打造性別平等友善城市,"臺南市政府性別平等及婦女權益促進委員會設置要點在 2019 年修正，條文增列了 ""不利處境性別代表"" 的委員身份，專家學者的數量反而因此減少；台南性平事件持續發生，一般市民並未明顯感受到性別平等友善的進展。
"
53,-,完成台南都會北外環道 安平南科僅15分鐘 加速通勤並促進人口遷移,"台南北外環快速道路目前僅第一期通車，第三期在 5 月完工後尚未開通，而第二期則是在今年 6 月才開始動工，要延伸到安平的第四期則是還有些抗爭影響環境評估進度，安平、南科間 15 分鐘的通勤理想還無法有明確的期程，但已經帶動許多安南區的開發。
"
54,+,台南太陽能發電環境全國第一 打通各局處環節 加速綠電發展,"台南太陽能發電量的確全國第一，但快速的發展忽略了許多溝通與細節，導致越來越多的抗爭與負面影響發生，像是排擠養殖漁業的面積導致虱目魚價格上揚等，大量的填土也讓滯洪空間快速減少，需要落實環境影響評估工作，避免更嚴重的副作用持續發生。
"
55,+,向下延伸勞權公民教育 讓勞資共榮的勞權觀念 深植整座城市,"向下延伸的意思是在國高中等尚未進入職場的學生也能夠接受勞權相關的公民教育，但目前看起來目前的相關教育活動還是聚焦在勞工局的範疇而非跟教育局合作；台南的勞權事件層出不窮，仍有賴積極的裁罰措施提昇資方觀念，進而讓勞權教育有效連結。
"
56,-,解決管線滲漏問題穩固路基 中央地方協力 加速汰換老舊管線,"台南的自來水管線近 8000 公里，老舊管線的汰換主要是自來水公司的安排，市府並未額外挹注資源進行加速，偶爾還是會聽聞管線斷裂造成的路基流失問題，不容易做到防範未然。
"
57,-,結合新總圖書館及週邊綠地 藝文展演及商業空間 催生康橋文化綠廊,"目前新總圖書館鄰近區域並未有其他文化展館，討論過的城市音樂廳目前也沒有具體規劃出現，單點的場館還無法產生連結效果。
"
58,-,雙薪家庭納入育兒津貼補助範圍 配合中央政策 擴大育兒津貼適用家庭,"育兒津貼適用家庭並未有太大改變，勞動部修正「育嬰留職停薪實施辦法」後父母可以同時請領育嬰假及育嬰留職停薪津貼，中央政策外台南並未加入更多福利。
"
59,+,配合台積電南科建廠 增加近萬就業機會 持續強化南科交通及水電供給,"南科交通具體改變就是南137線道路拓寬，深綠線捷運還在可行性評估階段，預期仍需數十年醞釀。曾文南化聯通管已經在 2021 動工，安定區規劃興建的天然氣發電廠目前仍遇到居民抗爭，需要更多努力才能達成共識。
"
60,+,加速工業區擴編及活化 滿足南科等園區的工業用地需求,"南科三期在今年 8 月環評過關，但是採用縮減開發面積方式規避二階環評，這樣的加速方式一方面減少了產業用地的供給，缺乏完整的評估對於環境與在地居民的影響會存在隱憂；在南科以外的工業區開發誘因相對低，加上農地工廠議題市府持續消極處理，不易驅動既有廠商將廠房搬入工業區，需要政府更積極的介入才能解決供需期待落差。
"
61,+,活化海空雙港 加速安平港北觀光 南自貿 發展遊艇觀旅及海運物流,"安平港的發展只有在觀光部份有看到明顯進展，自貿區與海運物流雖有成長但貿易量國內佔比極低，仍有逾 11 公頃區域閒置招商中，港務管理單位主體也大多在高雄，在台南不易感受到自貿區帶來的正面影響。機場部份在疫情影響下只剩下國內航班仍在營運，目前還不確定國際航班何時恢復。
"
62,-,迎接行動支付時代 整合各局處繳費系統 公門先行 帶動民間普及,"行動支付在台南不容易普及，主要是許多餐飲業沒有確實開立發票的習慣，農漁產業也有許多存在申報模糊地帶的交易，只想給蘿菠卻不敢下棍子，許多推廣工作就像把錢丟進海裡一樣。
"
63,+,補助推廣電動車 收費員及公車等公部門車輛電動化 鼓勵環保電池設廠,"依據交通部「109年市區汽車客運服務概況」統計，台南的電動公車佔比為 4.5% ，對比高雄的 11.4% 還有很大的努力空間；環保電池設廠部份，目前看起來鴻海集團都選在高雄，台南並未出現新的車用電池設廠消息。
"
64,-,友善流浪收容環境 溪北成立流浪動物之家 多功能場域加倍溫馨,"原本預定在學甲設置的動保教育園區，因為地方抗爭不斷，議會於 2020 做出決議要求市府決定前必須先和議會及地方居民充分溝通，之後就沒有看到進一步狀態，但流浪動物與市民生活產生衝突的情況仍時有所聞。
"
65,-,振興客家語言文化與技藝 加強社團合作 深化客家學堂 並新建溪北會館,"客家文化場館，目前除既有的客家文化會館與南瀛客家文化會館外並未發現新的場址，客家文化的推廣也並未有特別的進展出現。
"
66,+,正視垃圾大戰危機 加速既有掩埋場及焚化爐的活化與更新,"城西更新爐 BOT 案已經在今年 7/28 成功甄審適合廠商，尚未看到簽約消息，希望議約過程順利；掩埋場活化部份，原本預計在 2021 年 3 月完工的城西三期衛生掩埋場活化再利用工程，進行 2 次變更設計後原本預計 2021 年 11 月完工，但至今並未有完工啟用的消息。
"
67,+,只打髒車 不打老車 補助汰換或更新黑白煙烏賊車 打造友善用路環境,"針對烏賊車的汰換或更新，台南在環保署的補助外並未進一步加碼； 2019 啟用車牌辨識系統加強柴油車的到檢通知提昇效率，但並未進一步揭露到檢通知追蹤情形。
"
68,+,因應高齡社會 推出知老培訓 護老時數及長青勳章 發展長青志工團,"長青志工團在 2019 年底成立，衛福部志願服務隊員的統計中台南有逐年增加，但並未進一步發現包括知老培訓、護老時數及長青勳章的資訊；這個政策著重在鼓勵以老扶老，但志工鬆散的型態仍然不容易分擔社會的長照需求，比較大的價值也許是透過活動安排避免老化造成的失能，進而減少潛在的長照負擔。
"
69,+,體恤消防弟兄辛勞 兩年內優先補齊勤務繁重分隊的第二套消防衣,"2021 年 5 月消防局長回應議員質詢時提到，二套消防衣設備的比例已經達到 9 成，同年 10 月因高雄大樓火災讓市長支持動支第二預備金加速採購消防衣，目前並未看到進一步的統計資訊。
"
70,+,打造城市博物館 宮廟建築 傳統技藝與民俗活動 文資建檔並動態上網,"宮廟建築、傳統技藝與民俗活動目前數位建檔的比例極低，大量保存在宮廟中的典藏都倚賴長輩口耳相傳，以眾神之都為名的台南應該要有更積極的作為，讓更多市民或觀光客可以深入理解與欣賞台南的宮廟文化。
"
71,+,加速汰換老舊自來水管箱函及下水道 珍惜水資源並強固城市路基,"台南在自來水管箱函及下水道的汰換進度緩慢，往往是因為地基掏空出現天坑後才緊急補救，缺乏透明的資訊也讓這個工作監督不易，需要多方努力才能達成預期目標。
"
72,-,社區大學等教育機構 加強東南亞語系課程 強化台南連結新南向,"新南向政策衍生了許多負面問題，像是來台的國際生被當作廉價勞工，台南人被騙去東南亞淪為詐騙或色情產業員工等等，我們與新南向國家間還是存在很多的隔閡，語言只是最表面的問題，需要有更多的配套來讓政策確實落地。
"
73,+,浪浪收容所 訓練犬隻技能 為毛小孩找頭路 增加中大型犬認養率,"中大型犬順利成為工作犬的案例屈指可數，但每年捕獲會追車咬人的中大型流浪狗達數百隻之多，收容所一直是滿載的狀態，工作犬的想法緩不濟急，還是得設法從源頭找出解方，才能讓流浪貓狗問題獲得根本的解決。
"
74,-,溼地保育區明智利用 實現生態經濟 維持傳統經濟並發展生態觀旅,"在太陽光電大量入侵下，原有魚塭形成的溼地空間快速減少，沒有人會想要參觀大量的光電板，環繞著溼地的傳統經濟備受威脅，生態平衡已成為空談，許多養殖戶與居民被迫走上街頭抗爭。
"
75,-,指定歷史街區示範街廓 管理老屋立面 友善行人環境 打造古城新地標,"歷史街區示範街廓從未正式討論，騎樓整平的進度遠遠不如預期，鬧區的人行道也沒有明顯進展，無論觀光客或是在地居民都很難好好走在歷史街區中，浪費了許多整理老屋立面的經費。
"
76,-,補助友善環境的生態農業 深化產銷履歷及通路 打造台南嚴選食安品牌,"2021 年由成功大學執行的 ""110年度臺南市濕地保育與生態遊憩軸帶盤點及整合可行性評估計畫"" 至今尚未看到公開的成果，延伸的政策就更難有所期待。
"
77,+,源頭管理減少垃圾 徹底執行垃圾分類 推動再生產業實現循環城市,"台南的事業廢棄物處理問題一直沒有解決的跡象，許多大樓委託的清潔公司也持續調漲垃圾處理費用，也讓台南亂倒、亂埋的案件數量持續是全國最高，新政策的力道明顯跟不上現實情況，需要有更積極的作為才有機會反轉趨勢。
"
78,-,力促 豐盛之城 文化園區 為後壁蘭展覓好厝邊 串聯區域場館經濟,"《台灣三部曲》已經決定停拍實體電影，改以動畫方式呈現，豐盛之城文化園區幾乎可以確定無法實現，或者即使實現也不會有最初預期的規模， 118 公頃的土地何去何從至今市府都沒有給過任何交待！
"
79,+,補充基層警消人力 更新汰換老舊車輛及設備 改善老舊官廳,"依據消防局回應議員質詢，在 2023 開始分 15 年，每年增加 31-32 人，只是這個規劃尚未經過市府定案，而且是基於大法官解釋的調整，並未發現過去 4 年有具體的人力補充作為；消防車與廳舍更新陸續有進行，只是仍然有許多已經屆齡待更換的設備與廳舍，更換的進度是否優於過往也缺乏公開資料檢驗。
"
80,+,增設特色公園 讓公園成為大自然教室 透過生態工法恢復公園生態,"特色公園的確有增設，但無論質或量都遠不如鄰近的高雄與屏東，對比之下讓許多台南的家長相當不滿；生態工法很多都只是沾邊，要想恢復公園生態需要投入更多的人力與物力才有機會達成。
"
81,+,提升管線單位層級 全場域3D道路管線圖資 實現全面管理加強路平,"「臺南市道路挖掘管理自治條例」修正前後都是由工務局管轄，府內層級並未提昇，管線管理仍然不容易有效落實； 3D 管線圖資覆蓋率不高、與實際管線分佈仍有落差，對於路平的幫助並不明顯。
"
